"Date","Price","Open","High","Low","Change %"
"Nov 07, 2017","1.1364","1.1345","1.1376","1.1317","0.17%"
"Nov 06, 2017","1.1345","1.1267","1.1352","1.1245","0.73%"
"Nov 03, 2017","1.1263","1.1201","1.1273","1.1192","0.55%"
"Nov 02, 2017","1.1201","1.1401","1.1410","1.1186","-1.75%"
"Nov 01, 2017","1.1401","1.1406","1.1454","1.1384","-0.04%"
"Oct 31, 2017","1.1405","1.1337","1.1408","1.1329","0.60%"
"Oct 30, 2017","1.1337","1.1312","1.1377","1.1294","0.26%"
"Oct 27, 2017","1.1308","1.1298","1.1333","1.1233","0.11%"
"Oct 26, 2017","1.1296","1.1227","1.1300","1.1161","0.61%"
"Oct 25, 2017","1.1228","1.1168","1.1262","1.1141","0.52%"
"Oct 24, 2017","1.1170","1.1234","1.1245","1.1141","-0.56%"
"Oct 23, 2017","1.1233","1.1202","1.1256","1.1196","0.38%"
"Oct 20, 2017","1.1191","1.1101","1.1207","1.1080","0.80%"
"Oct 19, 2017","1.1102","1.1204","1.1207","1.1095","-0.89%"
"Oct 18, 2017","1.1202","1.1209","1.1236","1.1177","-0.09%"
"Oct 17, 2017","1.1212","1.1233","1.1292","1.1198","-0.18%"
"Oct 16, 2017","1.1232","1.1260","1.1294","1.1206","-0.05%"
"Oct 13, 2017","1.1238","1.1210","1.1268","1.1198","0.25%"
"Oct 12, 2017","1.1210","1.1149","1.1218","1.1068","0.53%"
"Oct 11, 2017","1.1151","1.1182","1.1189","1.1124","-0.30%"
"Oct 10, 2017","1.1184","1.1193","1.1206","1.1166","-0.09%"
"Oct 09, 2017","1.1194","1.1143","1.1229","1.1130","0.53%"
"Oct 06, 2017","1.1135","1.1202","1.1208","1.1119","-0.60%"
"Oct 05, 2017","1.1202","1.1263","1.1271","1.1192","-0.55%"
"Oct 04, 2017","1.1264","1.1274","1.1301","1.1259","-0.09%"
"Oct 03, 2017","1.1274","1.1317","1.1338","1.1259","-0.37%"
"Oct 02, 2017","1.1316","1.1322","1.1366","1.1276","-0.21%"
"Sep 29, 2017","1.1340","1.1404","1.1410","1.1309","-0.57%"
"Sep 28, 2017","1.1405","1.1400","1.1420","1.1350","0.06%"
"Sep 27, 2017","1.1398","1.1410","1.1437","1.1366","-0.12%"
"Sep 26, 2017","1.1412","1.1368","1.1427","1.1360","0.40%"
"Sep 25, 2017","1.1366","1.1287","1.1399","1.1280","0.64%"
"Sep 22, 2017","1.1294","1.1374","1.1380","1.1254","-0.69%"
"Sep 21, 2017","1.1373","1.1347","1.1387","1.1320","0.24%"
"Sep 20, 2017","1.1346","1.1263","1.1372","1.1249","0.74%"
"Sep 19, 2017","1.1263","1.1289","1.1312","1.1237","-0.22%"
"Sep 18, 2017","1.1288","1.1364","1.1394","1.1281","-0.82%"
"Sep 15, 2017","1.1381","1.1240","1.1399","1.1225","1.25%"
"Sep 14, 2017","1.1240","1.1114","1.1281","1.1058","1.13%"
"Sep 13, 2017","1.1114","1.1100","1.1134","1.1063","0.12%"
"Sep 12, 2017","1.1101","1.1014","1.1134","1.1008","0.80%"
"Sep 11, 2017","1.1013","1.0965","1.1022","1.0953","0.42%"
"Sep 08, 2017","1.0967","1.0896","1.0980","1.0865","0.64%"
"Sep 07, 2017","1.0897","1.0944","1.0971","1.0864","-0.43%"
"Sep 06, 2017","1.0944","1.0939","1.0960","1.0911","0.05%"
"Sep 05, 2017","1.0939","1.0873","1.0953","1.0854","0.63%"
"Sep 04, 2017","1.0871","1.0926","1.0931","1.0836","-0.45%"
"Sep 01, 2017","1.0920","1.0857","1.0934","1.0830","0.58%"
"Aug 31, 2017","1.0857","1.0878","1.0888","1.0824","-0.17%"
"Aug 30, 2017","1.0876","1.0791","1.0880","1.0787","0.78%"
"Aug 29, 2017","1.0792","1.0794","1.0815","1.0741","-0.04%"
"Aug 28, 2017","1.0796","1.0820","1.0844","1.0788","-0.12%"
"Aug 25, 2017","1.0809","1.0848","1.0876","1.0785","-0.37%"
"Aug 24, 2017","1.0849","1.0839","1.0883","1.0826","0.07%"
"Aug 23, 2017","1.0841","1.0903","1.0920","1.0825","-0.57%"
"Aug 22, 2017","1.0903","1.0915","1.0926","1.0894","-0.15%"
"Aug 21, 2017","1.0919","1.0941","1.0980","1.0914","-0.26%"
"Aug 18, 2017","1.0947","1.0977","1.1005","1.0931","-0.27%"
"Aug 17, 2017","1.0977","1.0957","1.1038","1.0943","0.19%"
"Aug 16, 2017","1.0956","1.0967","1.1011","1.0935","-0.10%"
"Aug 15, 2017","1.0967","1.1005","1.1052","1.0949","-0.35%"
"Aug 14, 2017","1.1006","1.1005","1.1027","1.0990","-0.02%"
"Aug 11, 2017","1.1008","1.1021","1.1050","1.0964","-0.13%"
"Aug 10, 2017","1.1022","1.1056","1.1104","1.1016","-0.33%"
"Aug 09, 2017","1.1059","1.1057","1.1102","1.1039","0.05%"
"Aug 08, 2017","1.1054","1.1050","1.1067","1.1002","0.03%"
"Aug 07, 2017","1.1051","1.1075","1.1086","1.1037","-0.21%"
"Aug 04, 2017","1.1074","1.1069","1.1121","1.1044","0.04%"
"Aug 03, 2017","1.1070","1.1152","1.1207","1.1050","-0.74%"
"Aug 02, 2017","1.1153","1.1187","1.1200","1.1124","-0.31%"
"Aug 01, 2017","1.1188","1.1159","1.1211","1.1153","0.26%"
"Jul 31, 2017","1.1159","1.1180","1.1197","1.1138","-0.17%"
"Jul 28, 2017","1.1178","1.1188","1.1202","1.1145","-0.10%"
"Jul 27, 2017","1.1189","1.1183","1.1249","1.1163","0.06%"
"Jul 26, 2017","1.1182","1.1179","1.1234","1.1165","0.04%"
"Jul 25, 2017","1.1178","1.1188","1.1203","1.1158","-0.13%"
"Jul 24, 2017","1.1192","1.1132","1.1216","1.1132","0.45%"
"Jul 21, 2017","1.1142","1.1156","1.1189","1.1118","-0.12%"
"Jul 20, 2017","1.1155","1.1309","1.1324","1.1139","-1.32%"
"Jul 19, 2017","1.1304","1.1284","1.1327","1.1279","0.17%"
"Jul 18, 2017","1.1285","1.1378","1.1390","1.1238","-0.78%"
"Jul 17, 2017","1.1374","1.1417","1.1438","1.1362","-0.39%"
"Jul 14, 2017","1.1419","1.1348","1.1439","1.1340","0.59%"
"Jul 13, 2017","1.1352","1.1293","1.1367","1.1271","0.54%"
"Jul 12, 2017","1.1291","1.1205","1.1317","1.1175","0.78%"
"Jul 11, 2017","1.1204","1.1303","1.1349","1.1195","-0.85%"
"Jul 10, 2017","1.1300","1.1315","1.1324","1.1286","-0.06%"
"Jul 07, 2017","1.1307","1.1356","1.1369","1.1284","-0.42%"
"Jul 06, 2017","1.1355","1.1396","1.1424","1.1339","-0.34%"
"Jul 05, 2017","1.1394","1.1383","1.1414","1.1350","0.05%"
"Jul 04, 2017","1.1388","1.1386","1.1416","1.1377","0.04%"
"Jul 03, 2017","1.1383","1.1396","1.1422","1.1375","-0.16%"
"Jun 30, 2017","1.1401","1.1372","1.1413","1.1348","0.27%"
"Jun 29, 2017","1.1370","1.1359","1.1395","1.1349","0.08%"
"Jun 28, 2017","1.1361","1.1304","1.1403","1.1255","0.52%"
"Jun 27, 2017","1.1302","1.1376","1.1388","1.1281","-0.66%"
"Jun 26, 2017","1.1377","1.1365","1.1403","1.1354","0.14%"
"Jun 23, 2017","1.1361","1.1370","1.1413","1.1355","-0.10%"
"Jun 22, 2017","1.1372","1.1343","1.1384","1.1325","0.23%"
"Jun 21, 2017","1.1346","1.1346","1.1404","1.1304","0.03%"
"Jun 20, 2017","1.1343","1.1426","1.1446","1.1317","-0.71%"
"Jun 19, 2017","1.1424","1.1415","1.1450","1.1359","0.13%"
"Jun 16, 2017","1.1409","1.1444","1.1469","1.1404","-0.31%"
"Jun 15, 2017","1.1445","1.1368","1.1467","1.1351","0.69%"
"Jun 14, 2017","1.1367","1.1377","1.1408","1.1315","-0.09%"
"Jun 13, 2017","1.1377","1.1298","1.1391","1.1289","0.70%"
"Jun 12, 2017","1.1298","1.1367","1.1393","1.1280","-0.76%"
"Jun 09, 2017","1.1384","1.1557","1.1568","1.1291","-1.45%"
"Jun 08, 2017","1.1551","1.1513","1.1562","1.1493","0.33%"
"Jun 07, 2017","1.1513","1.1448","1.1527","1.1436","0.57%"
"Jun 06, 2017","1.1448","1.1466","1.1509","1.1422","-0.15%"
"Jun 05, 2017","1.1465","1.1396","1.1504","1.1389","0.38%"
"Jun 02, 2017","1.1422","1.1492","1.1505","1.1407","-0.57%"
"Jun 01, 2017","1.1488","1.1462","1.1516","1.1421","0.21%"
"May 31, 2017","1.1464","1.1497","1.1505","1.1430","-0.28%"
"May 30, 2017","1.1496","1.1498","1.1556","1.1482","-0.05%"
"May 29, 2017","1.1502","1.1456","1.1507","1.1446","0.46%"
"May 26, 2017","1.1449","1.1542","1.1550","1.1426","-0.81%"
"May 25, 2017","1.1543","1.1560","1.1573","1.1533","-0.18%"
"May 24, 2017","1.1564","1.1590","1.1626","1.1548","-0.22%"
"May 23, 2017","1.1590","1.1568","1.1606","1.1526","0.19%"
"May 22, 2017","1.1568","1.1614","1.1629","1.1557","-0.54%"
"May 19, 2017","1.1631","1.1654","1.1674","1.1623","-0.15%"
"May 18, 2017","1.1649","1.1619","1.1733","1.1609","0.22%"
"May 17, 2017","1.1623","1.1659","1.1685","1.1608","-0.28%"
"May 16, 2017","1.1656","1.1749","1.1761","1.1630","-0.78%"
"May 15, 2017","1.1748","1.1787","1.1826","1.1740","-0.38%"
"May 12, 2017","1.1793","1.1861","1.1873","1.1779","-0.60%"
"May 11, 2017","1.1864","1.1905","1.1914","1.1832","-0.34%"
"May 10, 2017","1.1905","1.1895","1.1931","1.1880","0.08%"
"May 09, 2017","1.1895","1.1846","1.1907","1.1837","0.42%"
"May 08, 2017","1.1845","1.1800","1.1860","1.1766","0.35%"
"May 05, 2017","1.1804","1.1766","1.1816","1.1750","0.34%"
"May 04, 2017","1.1764","1.1816","1.1827","1.1759","-0.48%"
"May 03, 2017","1.1821","1.1840","1.1857","1.1796","-0.14%"
"May 02, 2017","1.1838","1.1825","1.1874","1.1784","0.13%"
"May 01, 2017","1.1823","1.1869","1.1879","1.1816","-0.52%"
"Apr 28, 2017","1.1885","1.1872","1.1903","1.1820","0.14%"
"Apr 27, 2017","1.1868","1.1783","1.1885","1.1768","0.74%"
"Apr 26, 2017","1.1781","1.1751","1.1825","1.1718","0.24%"
"Apr 25, 2017","1.1753","1.1773","1.1797","1.1719","-0.16%"
"Apr 24, 2017","1.1772","1.1759","1.1833","1.1744","-1.44%"
"Apr 21, 2017","1.1944","1.1954","1.1975","1.1922","-0.11%"
"Apr 20, 2017","1.1957","1.1926","1.1965","1.1882","0.22%"
"Apr 19, 2017","1.1931","1.1963","1.1996","1.1918","-0.28%"
"Apr 18, 2017","1.1964","1.1805","1.2029","1.1747","1.35%"
"Apr 17, 2017","1.1805","1.1817","1.1825","1.1778","0.02%"
