"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"7409","2017-05-26","EU offers post-Brexit rights to Britons in Europe - document","The European Union will offer to protect the welfare and residence rights of Britons living on the continent after Brexit when it opens talks with London next month, according to a document seen by Reuters on Thursday.","eu, offers, post, brexit, rights, britons, europe, document","european, union, will, offer, protect, welfare, residence, rights, britons, living, continent, brexit, opens, talks, london, next, month, according, document, seen, reuters, thursday"
"7413","2017-05-25","Is UK sick man of Europe? Not yet, even as economy slows sharply","Britain's economy slowed more sharply than first thought in early 2017 as consumers felt the hit from the rise in inflation that followed the Brexit vote and exporters struggled to benefit from the weak pound.","uk, sick, man, europe, yet, even, economy, slows, sharply","britain, s, economy, slowed, sharply, first, thought, early, consumers, felt, hit, rise, inflation, followed, brexit, vote, exporters, struggled, benefit, weak, pound"
"7485","2017-05-22","May says has support for long-held immigration target - BBC","Prime Minister Theresa May denied on Monday that her top ministers did not support a target to bring down immigration to the tens of thousands, rejecting reports of a split in her cabinet over one of the issues that drove Britain's Brexit vote.","may, says, support, long, held, immigration, target, bbc","prime, minister, theresa, may, denied, monday, top, ministers, support, target, bring, immigration, tens, thousands, rejecting, reports, split, cabinet, one, issues, drove, britain, s, brexit, vote"
"7486","2017-05-22","Britain won't accept EU's 'obsession' with ECJ in Brexit talks - minister","Britain will not accept the ""one-sided"" powers of the European Court of Justice as part of a deal to leave the European Union, Brexit minister David Davis said on Monday, criticising what he called an ""ideological obsession"" with the court in Brussels.","britain, won, t, accept, eu, s, obsession, ecj, brexit, talks, minister","britain, will, accept, one, sided, powers, european, court, justice, part, deal, leave, european, union, brexit, minister, david, davis, said, monday, criticising, called, ideological, obsession, court, brussels"
"7491","2017-05-21","Britain's EU 'no deal' threat is genuine, says Brexit minister Davis","Britain is prepared to walk away from divorce talks with the European Union without a deal, Brexit minister David Davis said on Sunday, but stressed that he thought an agreement was the most likely outcome.","britain, s, eu, deal, threat, genuine, says, brexit, minister, davis","britain, prepared, walk, away, divorce, talks, european, union, without, deal, brexit, minister, david, davis, said, sunday, stressed, thought, agreement, likely, outcome"
"7500","2017-05-19","Conservatives set to outspend Labour in election battle","Britain's ruling Conservatives are expected to outspend the opposition Labour Party on campaigning for next month's election, with many of their traditional business backers opting to stick with them despite concerns over Brexit.","conservatives, set, outspend, labour, election, battle","britain, s, ruling, conservatives, expected, outspend, opposition, labour, party, campaigning, next, month, s, election, many, traditional, business, backers, opting, stick, despite, concerns, brexit"
"7502","2017-05-22","May says has support for long-held immigration target - BBC","Prime Minister Theresa May denied on Monday that her top ministers did not support a target to bring down immigration to the tens of thousands, rejecting reports of a split in her cabinet over one of the issues that drove Britain's Brexit vote.","may, says, support, long, held, immigration, target, bbc","prime, minister, theresa, may, denied, monday, top, ministers, support, target, bring, immigration, tens, thousands, rejecting, reports, split, cabinet, one, issues, drove, britain, s, brexit, vote"
"7503","2017-05-22","Britain won't accept EU's 'obsession' with ECJ in Brexit talks - minister","Britain will not accept the ""one-sided"" powers of the European Court of Justice as part of a deal to leave the European Union, Brexit minister David Davis said on Monday, criticising what he called an ""ideological obsession"" with the court in Brussels.","britain, won, t, accept, eu, s, obsession, ecj, brexit, talks, minister","britain, will, accept, one, sided, powers, european, court, justice, part, deal, leave, european, union, brexit, minister, david, davis, said, monday, criticising, called, ideological, obsession, court, brussels"
"7508","2017-05-21","Britain's EU 'no deal' threat is genuine, says Brexit minister Davis","Britain is prepared to walk away from divorce talks with the European Union without a deal, Brexit minister David Davis said on Sunday, but stressed that he thought an agreement was the most likely outcome.","britain, s, eu, deal, threat, genuine, says, brexit, minister, davis","britain, prepared, walk, away, divorce, talks, european, union, without, deal, brexit, minister, david, davis, said, sunday, stressed, thought, agreement, likely, outcome"
"7517","2017-05-19","Conservatives set to outspend Labour in election battle","Britain's ruling Conservatives are expected to outspend the opposition Labour Party on campaigning for next month's election, with many of their traditional business backers opting to stick with them despite concerns over Brexit.","conservatives, set, outspend, labour, election, battle","britain, s, ruling, conservatives, expected, outspend, opposition, labour, party, campaigning, next, month, s, election, many, traditional, business, backers, opting, stick, despite, concerns, brexit"
"7520","2017-05-19","Merkel says Britain to be treated fairly, but will pay Brexit price","Britain would be treated fairly by the European Union after it quit the bloc, German Chancellor Angela Merkel said on Friday, but Brexit would nonetheless have its price.","merkel, says, britain, treated, fairly, will, pay, brexit, price","britain, treated, fairly, european, union, quit, bloc, german, chancellor, angela, merkel, said, friday, brexit, nonetheless, price"
"7529","2017-05-19","Factbox - What are May's plans for corporate reform and Brexit?","Setting out her pitch to voters ahead of the June 8 election, British Prime Minister said on Thursday she will press on with her approach to Brexit, cut immigration and introduce corporate reform.","factbox, may, s, plans, corporate, reform, brexit","setting, pitch, voters, ahead, june, election, british, prime, minister, said, thursday, will, press, approach, brexit, cut, immigration, introduce, corporate, reform"
"7541","2017-05-17","London office space rising despite Brexit uncertainty - Deloitte survey","The amount of empty office space in London has jumped over the past 15 months and is likely to rise again despite potential for a post-Brexit business exodus that could drive down rental values, a survey showed on Wednesday.","london, office, space, rising, despite, brexit, uncertainty, deloitte, survey","amount, empty, office, space, london, jumped, past, months, likely, rise, despite, potential, post, brexit, business, exodus, drive, rental, values, survey, showed, wednesday"
"7558","2017-05-17","London office space rising despite Brexit uncertainty - Deloitte survey","The amount of empty office space in London has jumped over the past 15 months and is likely to rise again despite potential for a post-Brexit business exodus that could drive down rental values, a survey showed on Wednesday.","london, office, space, rising, despite, brexit, uncertainty, deloitte, survey","amount, empty, office, space, london, jumped, past, months, likely, rise, despite, potential, post, brexit, business, exodus, drive, rental, values, survey, showed, wednesday"
"7568","2017-05-16","UK ambivalence over new EU military command centre irks allies - diplomats","Conflicting signals from Britain over a planned military command centre the European Union wants to set up to run its foreign training missions have annoyed France and Germany in the countdown to the start of Brexit negotiations in June.","uk, ambivalence, new, eu, military, command, centre, irks, allies, diplomats","conflicting, signals, britain, planned, military, command, centre, european, union, wants, set, run, foreign, training, missions, annoyed, france, germany, countdown, start, brexit, negotiations, june"
"7583","2017-05-15","UK employers plan smallest pay rises since 2013 - survey","British employers plan to increase pay at the weakest rate since 2013, a survey showed on Monday, offering poor prospects for British households already strained by higher inflation since last year's Brexit vote.","uk, employers, plan, smallest, pay, rises, since, survey","british, employers, plan, increase, pay, weakest, rate, since, survey, showed, monday, offering, poor, prospects, british, households, already, strained, higher, inflation, since, last, year, s, brexit, vote"
"7584","2017-05-15","Conservatives hold 18 point poll lead - Survation","British Prime Minister Theresa May's Conservatives have slightly extended their large lead over the opposition Labour Party as the state-run health service takes over from Brexit as the nation's top concern, a poll said on Monday.","conservatives, hold, point, poll, lead, survation","british, prime, minister, theresa, may, s, conservatives, slightly, extended, large, lead, opposition, labour, party, state, run, health, service, takes, brexit, nation, s, top, concern, poll, said, monday"
"7587","2017-05-14","Scotland needs choice on independence at end of Brexit - Sturgeon","Scotland must have a choice on independence at the end of Britain's divorce with the European Union when the exit terms are clear, First Minister Nicola Sturgeon said on Sunday.","scotland, needs, choice, independence, end, brexit, sturgeon","scotland, must, choice, independence, end, britain, s, divorce, european, union, exit, terms, clear, first, minister, nicola, sturgeon, said, sunday"
"7588","2017-05-14","Britain is gearing up for EU rows, Brexit minister says","Britain is gearing up for rows with the EU over the structure of divorce talks and the future role of the European court, fuelling an increasingly bitter war of words before negotiations begin.","britain, gearing, eu, rows, brexit, minister, says","britain, gearing, rows, eu, structure, divorce, talks, future, role, european, court, fuelling, increasingly, bitter, war, words, negotiations, begin"
"7612","2017-05-10","Britain should stay in EU energy market in Brexit transition deal - think tank","Britain should seek to remain in the European Union's energy market and carbon trading scheme in a transition period if a Brexit deal is not reached in two years, a report by think tank Chatham House said on Wednesday.","britain, stay, eu, energy, market, brexit, transition, deal, think, tank","britain, seek, remain, european, union, s, energy, market, carbon, trading, scheme, transition, period, brexit, deal, reached, two, years, report, think, tank, chatham, house, said, wednesday"
"7616","2017-05-09","Gibraltar says it plans for hard Brexit, end of access to EU market","Gibraltar is preparing for a post-Brexit setup in which its firms will have no longer access to the European Union market but will maintain a preferential relationship with Britain, a top Gibraltar financial official said on Tuesday.","gibraltar, says, plans, hard, brexit, end, access, eu, market","gibraltar, preparing, post, brexit, setup, firms, will, longer, access, european, union, market, will, maintain, preferential, relationship, britain, top, gibraltar, financial, official, said, tuesday"
"7623","2017-05-10","Germany's Schaeuble warns of cracks in EU over Brexit","The European Union's remaining 27 members have managed to hold the project together since Britain voted to leave the bloc, ""but the pendulum is swinging back"", German Finance Minister Wolfgang Schaeuble said on Wednesday.","germany, s, schaeuble, warns, cracks, eu, brexit","european, union, s, remaining, members, managed, hold, project, together, since, britain, voted, leave, bloc, pendulum, swinging, back, german, finance, minister, wolfgang, schaeuble, said, wednesday"
"7630","2017-05-10","Britain should stay in EU energy market in Brexit transition deal - think tank","Britain should seek to remain in the European Union's energy market and carbon trading scheme in a transition period if a Brexit deal is not reached in two years, a report by think tank Chatham House said on Wednesday.","britain, stay, eu, energy, market, brexit, transition, deal, think, tank","britain, seek, remain, european, union, s, energy, market, carbon, trading, scheme, transition, period, brexit, deal, reached, two, years, report, think, tank, chatham, house, said, wednesday"
"7634","2017-05-09","Gibraltar says it plans for hard Brexit, end of access to EU market","Gibraltar is preparing for a post-Brexit setup in which its firms will have no longer access to the European Union market but will maintain a preferential relationship with Britain, a top Gibraltar financial official said on Tuesday.","gibraltar, says, plans, hard, brexit, end, access, eu, market","gibraltar, preparing, post, brexit, setup, firms, will, longer, access, european, union, market, will, maintain, preferential, relationship, britain, top, gibraltar, financial, official, said, tuesday"
